Name,Position,Age,YOE,Prev Team,AAV,Type
E.J. Speed,LB,29.6,6.0,IND,4000000,UFA
Nate Herbig,G,26.5,6.0,PIT,4000000,UFA
Demarcus Robinson,WR,30.3,9.0,LAR,4000000,UFA
Chukwuma Okorafor,T,27.4,6.0,NE,4000000,UFA
Jameis Winston,QB,31.0,10.0,CLE,4000000,UFA
Sebastian Joseph,DT,29.8,7.0,TEN,4000000,UFA
K.J. Osborn,WR,27.6,5.0,WAS,4000000,UFA
Mac Jones,QB,26.3,4.0,JAX,3896588,UFA
Javon Kinlaw,DT,27.2,5.0,NYJ,3872173,UFA
Nick Folk,K,40.2,17.0,TEN,3755000,UFA
Patrick Ricard,FB,30.7,8.0,BAL,3750000,UFA
Matt Prater,K,40.4,18.0,ARI,3750000,UFA
Nelson Agholor,WR,31.7,10.0,BAL,3750000,UFA
Clelin Ferrell,DE,27.7,6.0,WAS,3750000,UFA
Julian Blackmon,SS,26.4,5.0,IND,3700000,UFA
Morgan Fox,DE,30.3,8.0,LAC,3625000,UFA
Ashton Dulin,WR,27.7,6.0,IND,3600000,UFA
Robert Spillane,LB,29.1,6.0,LV,3500000,UFA
Elandon Roberts,OLB,30.8,9.0,PIT,3500000,UFA
Mike Hughes,CB,27.9,7.0,ATL,3500000,UFA
Greg Gaines,DT,27.7,6.0,TB,3500000,UFA
Zack Baun,OLB,28.1,5.0,PHI,3500000,UFA
Austin Johnson,DT,30.7,9.0,BUF,3500000,UFA
Tress Way,P,34.8,11.0,WAS,3412500,UFA
K’Lavon Chaisson,OLB,25.5,5.0,LV,3336153,UFA
Dennis Gardeck,OLB,30.4,8.0,ARI,3333333,UFA
Carson Wentz,QB,32.1,9.0,KC,3325000,UFA
Najee Harris,RB,26.8,4.0,PIT,3261862,UFA
Harrison Bryant,TE,26.8,5.0,LV,3250000,UFA
Jordan Fuller,SS,26.8,5.0,CAR,3250000,UFA
Dante Fowler Jr.,DE,30.4,10.0,WAS,3250000,UFA
Emmanuel Ogbah,DE,31.2,9.0,MIA,3250000,UFA
Pharaoh Brown,TE,30.7,7.0,SEA,3200000,UFA
Michael Davis,CB,30.0,8.0,WAS,3200000,UFA
Jimmy Garoppolo,QB,33.2,11.0,LAR,3178750,UFA
Darrell Taylor,OLB,27.8,4.0,CHI,3136000,UFA
Payton Turner,DE,26.0,4.0,NO,3131184,UFA
Case Keenum,QB,36.9,12.0,HOU,3125000,UFA
Austin Hooper,TE,30.2,9.0,NE,3125000,UFA
Kristian Fulton,CB,26.3,5.0,LAC,3125000,UFA
Shaq Thompson,OLB,30.8,10.0,CAR,3105000,UFA
M.J. Stewart,SS,29.3,7.0,HOU,3000000,UFA
Bryan Anger,P,36.2,13.0,DAL,3000000,UFA
Damontae Kazee,S,31.6,8.0,PIT,3000000,UFA
Jeff Wilson,RB,29.2,7.0,MIA,3000000,UFA
Zach Ertz,TE,34.2,12.0,WAS,3000000,UFA
Joshua Uche,OLB,26.3,5.0,KC,3000000,UFA
Willie Gay Jr.,ILB,26.9,5.0,NO,3000000,UFA
Eric Kendricks,ILB,32.9,10.0,DAL,3000000,UFA
Coleman Shelton,C,29.5,6.0,CHI,3000000,UFA
Ben Bredeson,G,25.9,5.0,TB,3000000,UFA
Solomon Thomas,DE,29.4,8.0,NYJ,3000000,UFA
DJ Chark,WR,28.3,7.0,LAC,3000000,UFA
Quandre Diggs,SS,32.0,10.0,TEN,3000000,UFA
Mike Hoecht,DT,27.2,4.0,LAR,2985000,UFA
Eric Stokes,CB,25.8,4.0,GB,2981381,UFA
John Jenkins,DT,35.5,12.0,LV,2938000,UFA
Emmanuel Moseley,CB,28.8,7.0,DET,2875000,UFA
Mason Rudolph,QB,29.5,7.0,TEN,2870000,UFA
Jourdan Lewis,CB,29.4,8.0,DAL,2827500,UFA
Cornelius Lucas,LT,33.5,10.0,WAS,2800000,UFA
Joe Tryon,OLB,25.8,4.0,TB,2792809,UFA
Daniel Brunskill,C,31.0,6.0,TEN,2750000,UFA
Jerry Tillery,DT,28.2,6.0,MIN,2750000,UFA
Jon Feliciano,G,32.9,10.0,SF,2750000,UFA
Mekhi Becton,G,25.8,5.0,PHI,2750000,UFA
Malik Harrison,LB,26.8,5.0,BAL,2742500,UFA
Akeem Davis-Gaither,LB,27.3,5.0,CIN,2742500,UFA
Tershawn Wharton,DE,26.6,5.0,KC,2742500,UFA
A.J. Dillon,RB,26.7,5.0,GB,2742500,UFA
Ashtyn Davis,S,28.2,5.0,NYJ,2742500,UFA
Easton Stick,QB,29.3,6.0,LAC,2667500,UFA
Marco Wilson,CB,25.8,4.0,CIN,2616000,UFA
Del'Shawn Phillips,LB,28.2,5.0,HOU,2600000,UFA
Mack Hollins,WR,31.3,8.0,BUF,2600000,UFA
Jerry Hughes,DE,36.4,15.0,HOU,2600000,UFA
Kelvin Beachum,LT,35.6,14.0,ARI,2575000,UFA
Sam Franklin,S,28.9,5.0,CAR,2575000,UFA
Kendall Lamm,RT,32.6,9.0,MIA,2575000,UFA
Johnny Hekker,P,34.9,13.0,CAR,2540000,UFA
Tanoh Kpassagnon,DE,30.6,8.0,NO,2500000,UFA
Duke Riley,OLB,30.4,8.0,MIA,2500000,UFA
Tremon Smith,CB,28.5,7.0,DEN,2500000,UFA
Wes Schweitzer,G,31.3,9.0,NYJ,2500000,UFA
Cooper Rush,QB,31.2,8.0,DAL,2500000,UFA
Isaiah Oliver,CB,28.3,7.0,NYJ,2500000,UFA
Mike Gesicki,TE,29.2,7.0,CIN,2500000,UFA
Leki Fotu,DT,26.4,5.0,NYJ,2500000,UFA
Cody Whitehair,G,32.5,9.0,LV,2500000,UFA
Dawuane Smoot,DE,29.8,8.0,BUF,2500000,UFA
Linval Joseph,DT,36.2,15.0,DAL,2500000,UFA
Cody Barton,ILB,28.2,6.0,DEN,2500000,UFA
Dalton Risner,G,29.5,6.0,MIN,2410000,UFA
Tyler Boyd,WR,30.2,9.0,TEN,2400000,UFA
Nick Harris,C,26.2,5.0,CLE,2395000,UFA
Evan Brown,G,28.3,7.0,ARI,2350000,UFA
Reggie Gilliam,FB,27.4,5.0,BUF,2300000,UFA
Denzel Perryman,ILB,32.1,10.0,LAC,2300000,UFA
Neville Hewitt,ILB,31.8,10.0,HOU,2300000,UFA
Nick Chubb,RB,29.1,7.0,CLE,2275000,UFA
