player_name,season,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,Name,Position,Age,YOE,Prev Team,AAV,Type
Travis Homer,2024,REG,6,23.0,0,0.0,0.0,2.0,0.10105366277275607,0,3,3,11.0,0,0.0,0.0,1.0,10.0,0.0,-0.8533709939802065,0,11.0,0.125,0.007142857142857143,3.4000000000000004,6.3999999999999995,4,26.0,5,70.0,202,Travis Homer,RB,26.5,6.0,CHI,2000000,UFA
JaMycal Hasty,2024,REG,20,69.0,0,0.0,0.0,4.0,-1.0126937043138207,0,10,12,59.0,1,0.0,0.0,-2.0,72.0,2.0,0.5848384630517103,0,-28.25,0.35782835848579186,0.008554364080617924,18.8,28.8,9,27.0,4,68.0,205,JaMycal Hasty,RB,28.3,5.0,NE,1450000,UFA
Patrick Taylor,2024,REG,39,183.0,1,0.0,0.0,11.0,2.1398683296283707,0,3,11,25.0,0,0.0,0.0,39.0,19.0,2.0,-10.156941917492077,0,4.583333333333333,0.30587180587180585,0.15311989842961926,26.8,29.8,5,26.0,4,73.0,223,Patrick Taylor,RB,26.8,4.0,SF,1055000,UFA
Rico Dowdle,2024,REG,235,1079.0,2,3.0,2.0,53.0,-10.528278699356006,0,39,49,249.0,3,0.0,0.0,1.0,272.0,13.0,5.262085687212929,0,11.69957264957265,1.2599274652747954,-0.055088209835577856,158.8,197.8,16,26.0,4,72.0,215,Rico Dowdle,RB,27.1,5.0,DAL,1255000,UFA
Reggie Gilliam,2024,REG,3,7.0,0,0.0,0.0,1.0,-0.42451751659973525,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,2,27.0,4,72.0,255,Reggie Gilliam,FB,27.4,5.0,BUF,2300000,UFA
Darrynton Evans,2024,REG,3,3.0,0,0.0,0.0,0.0,-1.2948128271382302,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.30000000000000004,0.30000000000000004,1,26.0,4,70.0,200,Darrynton Evans,RB,26.6,5.0,CHI,1055000,UFA
Cam Akers,2024,REG,104,444.0,2,1.0,1.0,21.0,-18.5232545894105,0,14,18,68.0,3,0.0,0.0,-27.0,83.0,4.0,-1.0221885307149088,0,-6.8177655677655675,0.49624555723507296,-0.08834708560682336,79.2,93.2,15,25.0,4,70.0,212,Cam Akers,RB,25.6,4.0,MIN,1175000,UFA
Adam Prentice,2024,REG,0,0.0,0,0.0,0.0,0.0,0.0,0,0,4,0.0,0,0.0,0.0,4.0,0.0,0.0,-2.7622170679544658,0,0.0,0.15810850656051895,0.024240896387219622,0.0,0.0,4,27.0,3,72.0,245,Adam Prentice,FB,28.0,4.0,NO,1130000,UFA
Kene Nwangwu,2024,REG,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,6.0,1,26.0,3,73.0,205,Kene Nwangwu,RB,27.0,4.0,NYJ,1055000,UFA
Najee Harris,2024,REG,263,1043.0,6,0.0,0.0,50.0,-16.964777819695882,0,36,48,283.0,0,0.0,0.0,-70.0,329.0,13.0,4.2299297556164674,0,-39.426465201465206,1.6755720685846551,-0.3640289910079051,168.60000000000002,204.6,17,26.0,3,73.0,230,Najee Harris,RB,26.9,4.0,PIT,3261862,UFA
Khalil Herbert,2024,REG,36,130.0,1,0.0,0.0,10.0,2.0537499667806114,0,10,11,25.0,0,1.0,0.0,-23.0,44.0,0.0,-3.991388284252025,0,-6.2368421052631575,0.25599238684351394,-0.1159196239841401,21.5,31.5,8,26.0,3,69.0,212,Khalil Herbert,RB,26.8,4.0,CIN,902677,UFA
Kenneth Gainwell,2024,REG,75,290.0,1,0.0,0.0,12.0,-11.499512397604214,0,16,22,116.0,0,0.0,0.0,23.0,108.0,5.0,2.349299094901653,0,4.90340909090909,0.84665781109532,0.11519926715284394,46.6,62.6,16,25.0,3,69.0,191,Kenneth Gainwell,RB,25.8,4.0,PHI,953882,UFA
Trey Sermon,2024,REG,56,159.0,2,0.0,0.0,14.0,-11.241289974281335,0,16,19,99.0,0,0.0,0.0,6.0,99.0,3.0,-5.470031733851289,0,20.93560606060606,0.5411694556855847,0.011495710421772418,37.800000000000004,53.800000000000004,14,25.0,3,72.0,215,Trey Sermon,RB,26.0,4.0,IND,1055000,UFA
Javonte Williams,2024,REG,139,513.0,4,2.0,2.0,30.0,-23.895121423681424,0,52,70,346.0,0,0.0,0.0,-29.0,395.0,14.0,-5.536315441112963,0,-19.125213095991086,2.170545775595702,-0.3259586593705508,105.9,157.9,17,24.0,3,70.0,220,Javonte Williams,RB,24.8,4.0,DEN,2216438,UFA
Jaylen Warren,2024,REG,120,511.0,1,1.0,1.0,28.0,-14.24301524644535,0,38,47,310.0,0,1.0,0.0,-4.0,315.0,16.0,1.6996221386777375,0,27.21904761904762,1.761759910329819,-0.05680687895214122,86.10000000000001,124.10000000000001,15,25.0,2,68.0,225,Jaylen Warren,RB,26.2,3.0,PIT,857333,RFA
Raheem Blackshear,2024,REG,15,80.0,0,0.0,0.0,2.0,-0.6617602342739701,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.0,8.0,3,26.0,2,69.0,194,Raheem Blackshear,RB,26.7,3.0,CAR,985000,RFA
Jordan Mason,2024,REG,153,789.0,3,3.0,1.0,37.0,-5.442399821147765,0,11,14,91.0,0,0.0,0.0,52.0,59.0,5.0,4.628490873175906,0,5.771428571428571,0.49107509847915853,0.1718292141116321,104.0,115.0,12,25.0,2,71.0,218,Jordan Mason,RB,25.7,3.0,SF,856667,RFA
Ronnie Rivers,2024,REG,22,99.0,0,0.0,0.0,6.0,2.949052918207599,0,5,6,34.0,0,0.0,0.0,-26.0,58.0,1.0,-0.5107793381321244,0,-1.7894736842105263,0.16203703703703703,-0.138552520416784,13.3,18.3,5,25.0,2,69.0,190,Ronnie Rivers,RB,26.0,3.0,LAR,985000,RFA
Julius Chestnut,2024,REG,22,102.0,0,0.0,0.0,2.0,-3.3765913208696534,0,2,3,11.0,0,0.0,0.0,1.0,14.0,0.0,-4.590231376874726,0,-3.0,0.09964912280701754,0.0014574547258744738,11.3,13.3,7,23.0,2,71.0,215,Julius Chestnut,RB,24.2,3.0,TEN,985000,RFA
Chris Rodriguez Jr.,2024,REG,35,173.0,2,0.0,0.0,10.0,7.9402524094621185,0,1,1,12.0,0,0.0,0.0,1.0,11.0,1.0,1.138391637650784,0,12.0,0.02857142857142857,0.004132231404958678,30.5,31.5,6,24.0,1,71.0,224,Chris Rodriguez Jr.,RB,24.3,2.0,WAS,915000,ERFA
Emanuel Wilson,2024,REG,103,502.0,4,0.0,0.0,27.0,9.20893033756883,0,11,14,48.0,1,0.0,0.0,-63.0,99.0,3.0,-3.5111703557152856,0,-5.225396825396825,0.5001859435836515,-0.2825995611190681,85.0,96.0,17,25.0,1,71.0,220,Emanuel Wilson,RB,25.8,2.0,GB,915000,ERFA
