player_name,season,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,Position,Age,YOE,Prev Team,AAV,Type,ngs_efficiency,ngs_percent_attempts_gte_eight_defenders,ngs_avg_time_to_los,ngs_avg_rush_yards,ngs_expected_rush_yards,ngs_rush_yards_over_expected,ngs_rush_yards_over_expected_per_att,ngs_rush_pct_over_expected,headshot_url
Nick Chubb,2024,REG,102,332.0,3,1.0,1.0,17.0,-20.57457828947537,0,5,11,31.0,1,0.0,0.0,-5.0,31.0,3.0,-16.317357186810113,0,2.6666666666666665,0.26342140160197036,-0.002327074913063337,58.3,63.3,8,28.0,6,71.0,225,RB,29.1,7,CLE,2275000,UFA,4.351188060793732,25.977878494810923,3.0045353423305707,4.690886937810893,119.19001981887322,21.921091292237904,0.81860300518334,0.4333081222551263,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a8ib0haur75wrhqrbtyo"
Ameer Abdullah,2024,REG,66,311.0,2,1.0,1.0,14.0,-7.581538221371561,0,40,47,261.0,3,0.0,0.0,31.0,252.0,16.0,11.852883492729346,0,20.74117216117216,1.2987846248555968,0.12517573144690486,85.2,125.2,13,31.0,9,69.0,203,RB,31.7,10,LV,1850000,UFA,3.192973244147158,15.0,2.6675000000000004,4.825,66.12063898794017,10.879361012059832,0.3776860113431525,0.5421052631578948,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/atwi5p12mlgnsl4y8cgt"
Kenneth Gainwell,2024,REG,75,290.0,1,0.0,0.0,12.0,-11.499512397604214,0,16,22,116.0,0,0.0,0.0,23.0,108.0,5.0,2.349299094901653,0,4.90340909090909,0.84665781109532,0.11519926715284394,46.6,62.6,16,25.0,3,69.0,191,RB,25.9,4,PHI,953882,UFA,4.892719356261023,30.953768453768458,2.6291186507936506,4.2118159618159625,51.479800175481834,2.6868664911848374,0.2047224144767613,0.4124764124764124,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/prer0j0tkzsdva1yrd0i"
Raheem Mostert,2024,REG,85,278.0,2,2.0,2.0,13.0,-30.199422105800323,0,19,23,161.0,0,0.0,0.0,14.0,146.0,10.0,11.992758106391799,0,17.151797385620913,0.6966879031229072,0.06890680574963634,51.900000000000006,70.9,12,32.0,9,70.0,197,RB,32.8,9,MIA,4130000,UFA,4.197880595292484,14.139207810359267,2.8909618151835614,5.005549396938751,126.6919106837932,9.752533760651254,0.3753114754812252,0.3948233666997038,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ayii5q2am51xeipp1h8v"
Jeremy McNichols,2024,REG,55,261.0,4,0.0,0.0,15.0,7.9352832524156955,1,9,12,27.0,0,0.0,0.0,20.0,33.0,1.0,-1.2831246035639197,0,6.5,0.3785564381383566,0.06537721174884195,54.800000000000004,63.800000000000004,14,28.0,7,69.0,205,RB,29.1,4,WAS,1125000,UFA,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kegqjj5pv7xidm0xwtpy"
D'Onta Foreman,2024,REG,71,232.0,0,2.0,1.0,10.0,-24.159471105609555,0,6,8,54.0,0,0.0,0.0,1.0,48.0,1.0,0.8397850546753034,0,-0.34761904761904727,0.2610384959664535,0.01624698319041413,26.6,32.6,10,28.0,7,73.0,233,RB,28.8,8,CLE,1125000,UFA,4.18636061205582,27.914007765945694,2.679574509901667,4.16668299656382,114.02691302392408,11.877848880837822,0.24900164541989384,0.45302021014637833,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/shlxaet74pmn8arznphw"
Ty Johnson,2024,REG,41,213.0,1,0.0,0.0,13.0,0.6679014434921555,0,18,25,284.0,3,0.0,0.0,204.0,170.0,14.0,23.401920958675447,0,77.20078898774551,0.860596286911615,0.8829654931226564,73.7,91.7,17,26.0,5,70.0,210,RB,27.4,6,BUF,1292500,UFA,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zdedn4xqr2jy6mddh5pb"
Patrick Taylor,2024,REG,39,183.0,1,0.0,0.0,11.0,2.1398683296283707,0,3,11,25.0,0,0.0,0.0,39.0,19.0,2.0,-10.156941917492077,0,4.583333333333333,0.30587180587180585,0.15311989842961926,26.8,29.8,5,26.0,4,73.0,223,RB,26.8,4,SF,1055000,UFA,2.915229357798165,17.647058823529413,2.5545,6.411764705882353,77.28894838916503,30.71105161083497,1.9194407256771857,0.5,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nd1utxii5exwfoujq5a4"
Chris Rodriguez Jr.,2024,REG,35,173.0,2,0.0,0.0,10.0,7.9402524094621185,0,1,1,12.0,0,0.0,0.0,1.0,11.0,1.0,1.138391637650784,0,12.0,0.02857142857142857,0.004132231404958678,30.5,31.5,6,24.0,1,71.0,224,RB,24.3,2,WAS,915000,ERFA,2.597401800327333,16.783216783216783,2.7571293706293707,5.97902097902098,50.500933012037365,20.499066987962635,1.680763510261956,0.5576923076923077,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z5nbh1nza9je683o17h1"
Trey Sermon,2024,REG,56,159.0,2,0.0,0.0,14.0,-11.241289974281335,0,16,19,99.0,0,0.0,0.0,6.0,99.0,3.0,-5.470031733851289,0,20.93560606060606,0.5411694556855847,0.011495710421772418,37.800000000000004,53.800000000000004,14,25.0,3,72.0,215,RB,26.0,4,IND,1055000,UFA,4.575957212781169,37.908496732026144,2.5919791666666665,3.529193899782135,52.859088477723645,-1.192421811056981,-0.012585975463042262,0.38278867102396513,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/freievsvipthuvrwn7uw"
Craig Reynolds,2024,REG,31,139.0,0,1.0,0.0,6.0,-4.86852235585684,0,3,5,40.0,0,0.0,0.0,-10.0,42.0,2.0,-2.727888468594756,0,16.25,0.1543560606060606,-0.05646053293112117,17.900000000000002,20.900000000000002,7,28.0,5,71.0,215,RB,28.7,3,DET,1080000,RFA,6.6398558558558545,37.85714285714286,2.8926587301587303,3.392857142857143,39.924166339032254,4.575833660967742,0.16625732762323164,0.4214285714285715,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kfohmdfiai96uqcl7c03"
Khalil Herbert,2024,REG,36,130.0,1,0.0,0.0,10.0,2.0537499667806114,0,10,11,25.0,0,1.0,0.0,-23.0,44.0,0.0,-3.991388284252025,0,-6.2368421052631575,0.25599238684351394,-0.1159196239841401,21.5,31.5,8,26.0,3,69.0,212,RB,26.8,4,CIN,902677,UFA,3.653075201662386,29.3036886613998,2.7624034196475162,5.202279815700868,135.85029988588855,22.016366780778114,0.6008967665167588,0.41675444263112565,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rz6zmdluhpsaylbvmpgr"
Dare Ogunbowale,2024,REG,30,112.0,0,0.0,0.0,5.0,-8.395482421772975,0,19,28,198.0,1,0.0,0.0,48.0,168.0,8.0,5.609657743816625,0,11.095382395382396,0.8477729630022587,0.15925327639950332,37.0,56.0,15,30.0,7,71.0,205,RB,30.8,6,HOU,1500000,UFA,5.2879545454545465,11.212121212121213,2.83705,2.5,46.5608553691205,-15.0608553691205,-1.1851108711681664,0.19090909090909092,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kzthvzy64jesgizjthwx"
