player_name,player_id,season,season_type,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_avg_cushion,ngs_avg_separation,ngs_avg_intended_air_yards,ngs_percent_share_of_intended_air_yards,ngs_catch_percentage,ngs_avg_yac,ngs_avg_expected_yac,ngs_avg_yac_above_expectation,headshot_url,Name,Position,Age,YOE,Prev Team,AAV,Type,MV_Link,market_value
Ian Thomas,00-0034365,2022,REG,21,30,197.0,0,0.0,0.0,69.0,182.0,8.0,4.008337110019056,0,23.321834415584412,0.0905583465173306,0.11299308852364723,1.8449829190545,19.700000000000003,40.7,13,28.0,6.0,76.0,260.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qrcffo16hdkcvxuvjppy",Ian Thomas,TE,28.8,7.0,CAR,1300000.0,UFA,,1300000.0
Hayden Hurst,00-0034830,2023,REG,18,32,184.0,1,0.0,0.0,242.0,67.0,7.0,-3.7817815153393894,0,7.253798482432654,0.103742920561057,1.1030723224379413,2.172680053280828,24.400000000000002,42.400000000000006,9,31.0,6.0,76.0,245.0,6.008000000000001,3.8615629861692935,5.036029411764705,8.016433161276732,76.47058823529412,3.824423076923077,3.927740375853842,-0.1033172989307646,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qxvkvmi2fphxjqyb21nv",Hayden Hurst,TE,31.5,7.0,LAC,1125000.0,UFA,,1125000.0
Irv Smith,00-0034970,2022,REG,25,36,182.0,2,1.0,0.0,164.0,91.0,9.0,-4.330919062018104,0,8.079242191500256,0.12657328904808743,0.6759544389124099,1.992047575815736,30.200000000000003,55.2,8,26.0,5.0,74.0,240.0,6.3105416666666665,4.272195803596212,4.460958333333332,12.003446835050685,58.95833333333333,5.031500000000002,4.411190000089899,0.6203099999101027,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvnnqr5kj0rtte3iw9mp",Irv Smith,TE,26.6,6.0,HOU,1125000.0,UFA,,1125000.0
Tyler Davis,00-0036250,2022,REG,4,7,26.0,0,0.0,0.0,27.0,27.0,1.0,-6.4450322380289435,0,11.479166666666666,0.04373540185304891,0.10887458222095886,0.40422772145253805,2.5999999999999996,6.6,5,27.0,4.0,76.0,250.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/awihnovccbawpaof5pva",Tyler Davis,TE,27.9,5.0,GB,1075000.0,UFA,,1075000.0
Josiah Deguara,00-0036332,2022,REG,13,15,114.0,0,0.0,0.0,49.0,63.0,4.0,3.4746857234858908,0,18.1031746031746,0.04666617789349187,0.1539404714384183,0.7377517315690331,11.400000000000002,24.400000000000002,9,27.0,4.0,74.0,240.0,4.8525,4.035066981277302,5.801999999999998,6.771550617399219,100.0,2.398000000000002,3.321494321223909,-0.9234943212239072,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ppvzbuhwwaus50k2xyr2",Josiah Deguara,TE,28.1,5.0,JAX,1125000.0,UFA,,1125000.0
Shane Zylstra,00-0036534,2022,REG,11,15,60.0,4,0.0,0.0,78.0,13.0,6.0,3.4359968112548813,0,6.771786492374728,0.05453137957500867,0.3762127211525328,0.917725459706877,30.0,41.0,8,27.0,3.0,76.0,215.0,4.68,2.793365803127145,8.481666666666664,14.88882387361029,83.33333333333334,0.6780000000000015,0.6976745351933005,-0.0196745351932989,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/e6np1mvcmbxp76d7lbqy",Shane Zylstra,TE,28.3,4.0,DET,985000.0,UFA,,985000.0
Quintin Morris,00-0036590,2022,REG,8,11,84.0,1,1.0,1.0,77.0,38.0,6.0,-0.15583897282772474,0,7.877450980392156,0.0468310356081254,0.2012123588505221,0.5623279716684939,12.400000000000002,20.4,6,25.0,3.0,74.0,251.0,9.33,5.058011012969016,8.146,9.33339444075254,60.0,9.606666666666667,9.575847228531984,0.0308194381346833,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ftrqrbuqecl9yhcqrcmw",Quintin Morris,TE,26.1,4.0,BUF,985000.0,UFA,,985000.0
Teagan Quitoriano,00-0037277,2022,REG,7,14,113.0,2,0.0,0.0,175.0,53.0,5.0,2.1962939216173254,0,6.005952380952381,0.0609145283195711,0.6175342016399312,1.0718764885034484,23.3,30.3,7,24.0,2.0,78.0,259.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tlfmx2ozvmglaxcrg7ko",Teagan Quitoriano,TE,25.0,3.0,HOU,0.0,UFA,,0.0
John FitzPatrick,00-0037306,2023,REG,1,1,12.0,0,0.0,0.0,2.0,10.0,1.0,0.7121124425902963,0,6.0,0.029411764705882353,0.00975609756097561,0.05094691535150645,1.2000000000000002,2.2,1,24.0,2.0,79.0,250.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k7m700qda76lqtt7zj8e",John FitzPatrick,TE,25.0,3.0,GB,985000.0,UFA,,985000.0
Peyton Hendershot,00-0037569,2022,REG,11,16,103.0,2,0.0,0.0,109.0,47.0,8.0,-3.1800049560843036,0,3.9607843137254903,0.0562047105949545,0.37293400768915685,1.0198173984142955,28.5,39.5,9,25.0,2.0,76.0,245.0,8.697999999999999,1.5092758708760354,10.577999999999998,16.743700139293406,40.0,-0.1899999999999977,0.3164240665522584,-0.5064240665522561,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d8plvjsvwdadr1ap93ci",Peyton Hendershot,TE,25.8,3.0,KC,985000.0,UFA,,985000.0
