season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected
2022,REG,0,Austin Ekeler,RB,LAC,3.7029398907103817,17.15686274509804,2.755630434782609,204,915,4.485294117647059,13,00-0033699,Austin,Ekeler,30,A.Ekeler,810.0962906849653,88.90370931503469,0.4512878645433233,0.3756345177664975
2022,REG,0,Cordarrelle Patterson,RB,ATL,4.010129496402881,36.80555555555556,2.8816718749999994,144,695,4.826388888888889,8,00-0030578,Cordarrelle,Patterson,84,C.Patterson,572.1291298675209,86.87087013247913,0.6249702887228714,0.45323741007194246
2022,REG,0,Nick Chubb,RB,CLE,3.797232786885247,28.807947019867548,3.0969854014598557,302,1525,5.049668874172186,12,00-0034791,Nicholas,Chubb,24,N.Chubb,1238.7465229171532,284.25347708284676,0.9443637112386936,0.4186046511627907
2022,REG,0,Dalvin Cook,RB,MIN,4.008184143222509,18.939393939393938,2.911220779220779,264,1173,4.443181818181818,8,00-0033893,Dalvin,Cook,4,D.Cook,1138.764501037635,-20.764501037635,-0.08048256216137598,0.32170542635658916
2022,REG,0,Dameon Pierce,RB,HOU,3.810947816826411,20.454545454545457,2.8791709844559596,220,939,4.2681818181818185,4,00-0037258,Dameon,Pierce,31,D.Pierce,894.3164766984537,44.6835233015463,0.20310692409793774,0.37272727272727274
2022,REG,0,Kareem Hunt,RB,CLE,4.279038461538462,21.951219512195124,2.947227272727273,123,468,3.8048780487804876,3,00-0033923,Kareem,Hunt,27,K.Hunt,470.82605611295054,-9.826056112950539,-0.0805414435487749,0.4098360655737705
2022,REG,0,Najee Harris,RB,PIT,4.200096711798842,25.36764705882353,2.7187359999999994,272,1034,3.801470588235294,7,00-0036893,Najee,Harris,22,N.Harris,1149.381785735607,-116.38178573560708,-0.42945308389522907,0.3800738007380074
2022,REG,0,Latavius Murray,RB,DEN,3.3840921052631585,21.052631578947366,2.6692049689440993,171,760,4.444444444444445,6,00-0030513,Latavius,Murray,28,L.Murray,764.016101457854,-11.016101457854006,-0.06557203248722623,0.35119047619047616
2022,REG,0,Leonard Fournette,RB,TB,4.125194610778442,22.22222222222222,2.770423529411766,189,668,3.5343915343915344,3,00-0033856,Leonard,Fournette,7,L.Fournette,799.1561803670755,-135.15618036707554,-0.7227603228185857,0.35294117647058826
2022,REG,0,Damien Harris,RB,NE,3.5656926406926397,18.867924528301888,2.6425151515151506,106,462,4.3584905660377355,3,00-0035657,Damien,Harris,37,D.Harris,428.5657916360099,33.43420836399008,0.31541706003764225,0.4716981132075472
2022,REG,0,Miles Sanders,RB,PHI,3.466028368794325,18.146718146718147,2.791468354430379,259,1269,4.899613899613899,11,00-0035243,Miles,Sanders,26,M.Sanders,1148.1087286685377,93.89127133146235,0.3653356861146395,0.4280155642023346
2022,REG,0,Jeffery Wilson,RB,MIA,3.527988372093024,20.454545454545457,2.7328625,176,860,4.886363636363637,5,00-0034115,Jeffery,Wilson,23,J.Wilson,789.7740065068883,69.22599349311167,0.3955771056749238,0.3485714285714286
2022,REG,0,J.K. Dobbins,RB,BAL,3.217711538461539,35.869565217391305,2.9500119047619044,92,520,5.6521739130434785,2,00-0036158,Jkaylin,Dobbins,27,J.Dobbins,412.49558660545586,94.50441339454414,1.0500490377171572,0.43333333333333335
2022,REG,0,Chuba Hubbard,RB,CAR,3.1801931330472097,13.684210526315791,2.534696629213483,95,466,4.905263157894737,2,00-0036555,Chuba,Hubbard,30,C.Hubbard,431.16411679292804,34.83588320707196,0.3666935074428627,0.37894736842105264
2022,REG,0,Aaron Jones,RB,GB,3.8848260481712784,10.7981220657277,2.8256368421052644,213,1121,5.262910798122066,2,00-0033293,Aaron,Jones,33,A.Jones,975.0973785880853,87.90262141191465,0.4287932751800715,0.424390243902439
2022,REG,0,Tyler Allgeier,RB,ATL,3.801478260869566,40.0,2.8730612244897964,210,1035,4.928571428571429,3,00-0037263,Tyler,Allgeier,25,T.Allgeier,852.6344481354573,134.36555186454268,0.6522599605074887,0.44660194174757284
2022,REG,0,Rachaad White,RB,TB,3.9231185031185043,18.6046511627907,2.770344537815127,129,481,3.7286821705426356,1,00-0037256,Rachaad,White,29,R.White,510.78409734808776,-29.784097348087755,-0.23088447556657174,0.34108527131782945
2022,REG,0,Brian Robinson,RB,WAS,4.112584692597238,33.170731707317074,2.8580466321243514,205,797,3.8878048780487804,2,00-0037746,Brian,Robinson,8,B.Robinson,784.3581172322527,12.641882767747347,0.061667720818279745,0.4146341463414634
2022,REG,0,Derrick Henry,RB,TEN,3.8450260078023404,38.108882521489974,2.6969841269841277,349,1538,4.406876790830945,13,00-0032764,Derrick,Henry,22,D.Henry,1394.7910453973907,87.20895460260931,0.2564969253017921,0.40294117647058825
2022,REG,0,D'Andre Swift,RB,DET,3.6581549815498158,6.0606060606060606,2.8809425287356314,99,542,5.474747474747475,5,00-0036275,D'Andre,Swift,32,D.Swift,496.165629552697,36.834370447303,0.3836913588260729,0.375
2022,REG,0,Isiah Pacheco,RB,KC,3.457746987951806,18.235294117647058,2.750648484848485,170,830,4.882352941176471,5,00-0037197,Isiah,Pacheco,10,I.Pacheco,750.0305964980915,74.96940350190846,0.4489185838437632,0.41317365269461076
