player_name,player_id,season,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_efficiency,ngs_percent_attempts_gte_eight_defenders,ngs_avg_time_to_los,ngs_avg_rush_yards,ngs_expected_rush_yards,ngs_rush_yards_over_expected,ngs_rush_yards_over_expected_per_att,ngs_rush_pct_over_expected,headshot_url
David Montgomery,00-0035685,2024,REG,185,775.0,12,2.0,1.0,50.0,-7.8847785938286625,0,36,38,341.0,0,0.0,0.0,-18.0,365.0,16.0,15.918257171709268,0,58.021428571428565,0.09068847693888307,-0.03660438600687586,185.72,221.72,14,27.0,5.0,71.0,222.0,3.881909677419357,25.405405405405407,2.7218546511627904,4.1891891891891895,759.1267621144887,-4.126762114488656,-0.0227997906877826,0.4198895027624309,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nwdb4paueb1x4gv7tlb9"
De'Von Achane,00-0039040,2024,REG,203,907.0,6,0.0,0.0,37.0,-11.281631010235287,0,78,87,592.0,6,1.0,0.0,-35.0,665.0,30.0,23.8639774751283,0,-9.79327498588368,0.15270101463506558,-0.250287285453636,221.9,299.9,17,22.0,1.0,69.0,185.0,4.05792723263506,20.19704433497537,2.824136904761905,4.467980295566503,957.9559516065062,-80.95595160650623,-0.4172987196211661,0.3041237113402061,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zqfkz3hbyurjcwhw7xoi"
DeeJay Dallas,00-0036425,2022,REG,35,186.0,0,0.0,0.0,9.0,3.086083561705891,0,17,19,126.0,0,0.0,0.0,10.0,126.0,5.0,0.11279492192708274,0,-2.275362318840579,0.052871957776263995,0.03649239595631648,29.200000000000003,46.2,11,25.0,4.0,70.0,214.0,4.237297297297297,0.0,2.9595,3.7,49.37705034054499,-12.37705034054499,-1.237705034054499,0.1,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsij89kqrxap0jba9zwh"
Demetric Felton,00-0036654,2022,REG,1,-4.0,0,0.0,0.0,0.0,-1.2909204087918624,0,2,4,8.0,0,0.0,0.0,16.0,11.0,0.0,-1.4629614923615009,0,-1.0,0.03911273911273911,0.08092660202897968,0.4,2.4,4,26.0,3.0,69.0,185.0,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pfjsjpzj2f9cn39xqde2"
Deon Jackson,00-0036493,2022,REG,68,236.0,1,1.0,1.0,13.0,-15.613186295582791,0,30,34,209.0,1,0.0,0.0,-17.0,228.0,10.0,-8.54644934029784,0,-15.763636363636364,0.07742701023061554,-0.05235318837661559,54.5,84.5,12,25.0,3.0,72.0,220.0,5.378378915988173,9.91841491841492,2.636205361305361,3.1335664335664335,49.29341815205783,-10.293418152057829,-0.8713211528132762,0.28997668997668996,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wvi0pz27h6t7gfjujxis"
Derrick Henry,00-0032764,2024,REG,325,1921.0,16,3.0,1.0,94.0,40.596154030029325,0,19,22,193.0,2,0.0,0.0,-25.0,216.0,11.0,9.010280206304742,0,25.501190476190473,0.05280732378489189,-0.1670150158744486,317.40000000000003,336.40000000000003,17,30.0,8.0,75.0,247.0,3.089177511712649,33.23076923076923,2.7228585858585848,5.910769230769231,1318.1470724359783,561.8529275640215,1.7668331055472373,0.4685534591194968,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m7bv3lv9puapabltvykk"
Deuce Vaughn,00-0038622,2023,REG,23,40.0,0,0.0,0.0,1.0,-12.909250165859703,0,7,7,40.0,0,0.0,0.0,-6.0,46.0,1.0,0.7451961804763414,0,10.25,0.032845782845782844,-0.01681359486688995,8.0,15.0,6,22.0,1.0,66.0,176.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uzxaeh4dssbmvz3lwaan"
Devin Singletary,00-0035250,2024,REG,113,437.0,4,2.0,2.0,24.0,-11.144816790469909,0,21,24,119.0,0,0.0,0.0,-68.0,178.0,4.0,-11.24154247296974,0,8.674603174603174,0.048855520344168436,-0.37355610992819094,75.60000000000001,96.60000000000001,15,26.0,5.0,67.0,203.0,3.90059496567506,22.12389380530973,2.71203738317757,3.8672566371681416,490.0623295478293,-54.06232954782928,-0.4826993709627614,0.3392857142857143,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wz8mp8xb5bdspcxosreh"
Dylan Laube,00-0039407,2024,REG,1,0.0,0,1.0,1.0,0.0,-4.668176158738788,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-2.0,-2.0,1,24.0,0.0,70.0,208.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zag3wqxniqpcgujte3h7"
Elijah Dotson,00-0038862,2023,REG,4,6.0,0,0.0,0.0,0.0,-3.1967907728394493,0,2,2,13.0,0,0.0,0.0,-1.0,14.0,0.0,0.37644284265115857,0,-13.0,0.05128205128205128,-0.0024630541871921183,1.9000000000000001,3.9000000000000004,1,25.0,1.0,69.0,200.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yx9vzbdqe6khlgdanbk3"
Elijah Mitchell,00-0036567,2023,REG,75,281.0,2,0.0,0.0,14.0,-11.30356071589631,0,6,8,14.0,0,0.0,0.0,-22.0,26.0,2.0,-8.16301331249997,0,2.8333333333333335,0.024601476954418132,-0.11655485042283617,41.5,47.5,11,26.0,3.0,70.0,221.0,3.894627008720515,40.42186571598336,2.6984747155785387,4.16513029454206,56.307103581988294,6.492896418011705,0.34746042322966014,0.40928613869790337,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ecpkun66fbkxptrnmdcw"
Emanuel Wilson,00-0038797,2024,REG,103,502.0,4,0.0,0.0,27.0,9.20893033756883,0,11,14,48.0,1,0.0,0.0,-63.0,99.0,3.0,-3.5111703557152856,0,-5.225396825396825,0.02942270256374421,-0.2825995611190681,85.0,96.0,17,25.0,1.0,71.0,220.0,3.5791832669322727,14.563106796116504,2.8050625,4.87378640776699,422.3223468686221,73.67765313137795,0.7294817141720589,0.4257425742574257,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hpscbhsmjocm8kmwfbuc"
Emari Demercado,00-0038705,2023,REG,58,284.0,2,0.0,0.0,12.0,-5.2967349450051175,0,21,30,119.0,0,0.0,0.0,27.0,109.0,4.0,-14.946506310184343,0,49.925,0.07855208998212772,0.11516772405102768,52.300000000000004,73.3,11,25.0,1.0,69.0,210.0,3.673586010413597,27.82051282051282,2.785138888888888,4.287179487179487,59.078332201514854,1.2550011318184862,0.17149860512647885,0.4615384615384615,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pvd4nrkfpg8h1yamerrr"
Eric Gray,00-0038396,2023,REG,17,48.0,0,1.0,0.0,2.0,-7.894027838774491,0,6,7,22.0,0,0.0,0.0,-8.0,40.0,0.0,-3.7494461149908602,0,0.3571428571428572,0.04157428355957767,-0.04477383157160915,7.0,13.0,5,24.0,1.0,70.0,210.0,6.744,0.0,2.4162222222222223,2.083333333333333,37.19161775006938,-15.191617750069383,-1.3810561590972166,0.2727272727272727,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ijjxwxv1ccyowzhpuw2k"
Evan Hull,00-0038397,2023,REG,1,1.0,0,0.0,0.0,0.0,-1.4869537617778406,0,1,1,6.0,0,0.0,0.0,3.0,3.0,0.0,-0.10811814304906875,0,2.0,0.02564102564102564,0.013761467889908258,0.7000000000000001,1.7000000000000002,1,23.0,1.0,70.0,210.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ujeotuzljtwd4wtzbuse"
Ezekiel Elliott,00-0033045,2023,REG,184,642.0,3,1.0,0.0,33.0,-27.282744640982337,0,51,65,313.0,2,1.0,1.0,-42.0,374.0,12.0,-10.107500240426049,0,-10.795930735930735,0.12377699904435797,-0.21748285537429207,123.5,174.5,17,29.0,8.0,72.0,228.0,3.909688473520248,17.934782608695652,2.7091197604790422,3.489130434782609,700.5630598138597,-70.5630598138597,-0.3877091198563719,0.4175824175824176,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d4yr6htg4dbs0bgcfqnd"
Gary Brightwell,00-0036569,2022,REG,31,141.0,1,0.0,0.0,9.0,-4.4235599027417525,0,5,8,39.0,0,0.0,0.0,7.0,35.0,4.0,1.4398451957094949,0,6.75,0.030207860707803992,0.03348193554379121,24.0,29.0,8,26.0,3.0,73.0,218.0,3.293,9.090909090909092,2.990888888888889,5.454545454545454,41.39932638252019,18.600673617479814,1.6909703288618012,0.3636363636363636,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m2xicttj0rfcclm9t0gs"
George Holani,00-0039299,2024,REG,3,10.0,0,0.0,0.0,1.0,-0.7718284350121394,0,1,1,-1.0,0,0.0,0.0,-1.0,0.0,0.0,-0.40869680093601346,0,1.0,0.017241379310344827,-0.00625,0.9,1.9,2,24.0,0.0,70.0,210.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x0f2kv9b6nw2vjloykm9"
Gus Edwards,00-0034184,2024,REG,101,365.0,4,0.0,0.0,17.0,-13.124124479896064,0,3,5,6.0,0,0.0,0.0,-15.0,11.0,0.0,-3.101063936483115,0,-0.3333333333333333,0.01601010101010101,-0.07003744425365514,61.1,64.10000000000001,11,29.0,6.0,73.0,238.0,4.100328767123288,33.663366336633665,2.753234042553192,3.613861386138614,409.9711944011119,-37.97119440111192,-0.3797119440111192,0.34,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dyobqe3w5eypevsk3f2b"
