player_name,player_id,season,season_type,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_avg_cushion,ngs_avg_separation,ngs_avg_intended_air_yards,ngs_percent_share_of_intended_air_yards,ngs_catch_percentage,ngs_avg_yac,ngs_avg_expected_yac,ngs_avg_yac_above_expectation,headshot_url
Colby Parkinson,00-0036244,2024,REG,30,49,294.0,1,0.0,0.0,263.0,160.0,15.0,3.1986356199332215,0,24.50055640988961,0.10359723881761236,1.0701017535429866,3.080009100876369,35.4,65.4,15,25.0,4.0,79.0,251.0,6.8171875,3.7235658411046417,5.731836734693878,6.884633486292506,61.224489795918366,5.593666666666666,6.165020361064037,-0.5713536943973709,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/crjyx8tutyzn8bomqbdc"
Cole Fotheringham,00-0037506,2023,REG,1,1,6.0,0,0.0,0.0,1.0,5.0,0.0,0.21242226101458073,0,6.0,0.05263157894736842,0.006535947712418301,0.08352253181974544,0.6000000000000001,1.6,1,26.0,2.0,76.0,243.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/stshlkkfc995vk5tuhtd"
Cole Kmet,00-0036290,2024,REG,47,55,474.0,4,0.0,0.0,393.0,181.0,25.0,27.909952066424175,1,18.02022751751317,0.11758720414589188,1.5743818638721694,3.571398591774248,73.4,120.4,14,25.0,4.0,78.0,258.0,6.967142857142857,3.901410308037418,6.730545454545455,8.89402516025487,85.45454545454545,4.427659574468086,4.730171090071509,-0.302511515603423,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fdxpctcmwjupassg9g9d"
Cole Turner,00-0037078,2023,REG,11,15,120.0,0,0.0,0.0,102.0,50.0,4.0,-0.005128661555817482,0,7.1525234025234035,0.06885614747466386,0.4506477253245546,1.0384429562111586,12.0,23.0,7,24.0,2.0,78.0,240.0,4.963333333333334,1.8692761737696224,9.128571428571426,28.707489105530342,57.14285714285714,1.2200000000000042,2.28304135585438,-1.0630413558543754,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/etikvhuu6qxktyrwthid"
Connor Heyward,00-0037304,2023,REG,23,34,167.0,0,0.0,0.0,175.0,94.0,8.0,-4.1593338871937515,0,14.086666666666666,0.1046739447757597,0.681092664847582,2.2038849541933425,16.700000000000003,39.7,11,25.0,2.0,72.0,230.0,3.333333333333333,2.603653319806348,3.890000000000001,5.665461077262908,83.33333333333334,2.1199999999999988,2.672977426266107,-0.552977426266108,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b9bnasge2v2dtctdtqnf"
Dallas Goedert,00-0034351,2024,REG,42,52,496.0,2,2.0,0.0,343.0,257.0,20.0,19.366237246305353,0,10.478170252474355,0.19282225945724812,1.724581425889736,4.0995408899815375,61.599999999999994,103.6,10,29.0,6.0,77.0,256.0,5.931219512195123,3.199622072109197,6.778846153846154,10.558697371258775,80.76923076923077,6.272142857142859,4.911097571996165,1.3610452851466937,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wfj54vhw1zxwwb3vdi61"
Dallin Holker,00-0039613,2024,REG,3,4,21.0,0,0.0,0.0,36.0,13.0,1.0,-0.9445894827367738,0,0.2972972972972973,0.05459057071960298,0.10973739338620381,0.24058788752915158,2.1,5.1,2,24.0,0.0,75.0,235.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sps8av7spro1015lpwn1"
Dalton Kincaid,00-0038933,2024,REG,44,75,448.0,2,1.0,0.0,573.0,274.0,23.0,14.806048939535463,0,18.79612347969491,0.20194748474358667,2.3793693328498886,5.603534485494862,56.800000000000004,100.8,13,24.0,1.0,76.0,240.0,5.673571428571429,3.536217491037853,7.976666666666667,14.693746223713358,58.66666666666666,6.442272727272727,5.520305920242468,0.9219668070302588,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rsimqxdfwlb1n9qd4w3g"
Dalton Schultz,00-0034383,2024,REG,53,85,532.0,2,0.0,0.0,684.0,214.0,26.0,3.325906318572656,0,15.099442536645642,0.1546164213654282,2.643637075082471,5.793264697376148,65.2,118.2,17,28.0,6.0,77.0,242.0,6.9270689655172415,3.1690435838639157,7.599882352941177,14.299691644290773,62.35294117647059,4.218490566037736,3.909316113409573,0.3091744526281625,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ooatvpu1knzypdmjljo9"
Daniel Bellinger,00-0038115,2022,REG,30,35,268.0,2,1.0,1.0,140.0,144.0,14.0,9.696765491651604,1,31.750103405366563,0.12020340057487643,0.9114544517228415,2.62137422569145,45.0,75.0,11,23.0,2.0,78.0,255.0,6.9467,4.533402077895845,3.265485714285714,7.029292384052542,86.28571428571429,5.3805,4.761757853202441,0.6187421467975585,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f9xmqszyicfahxrcqevp"
