id,name,pos,team,depth,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,avg,tmsnap%,depth_ranking,avg_ranking,tmsnap%_ranking,depth_score,tm_snap,avg_norm,rating,games,max_team_rating,team_relative_rating,final_rating,height,weight,headshot_url,position,age,yoe,prevteam,aav,type,mv_link,market_value
11,Mark Glowinski,G,IND,3.0,,,,,,,,,,,,,62.0,,76.0,62.0,77.0,78.0,71,100.0,283.0,1.0,1.0,0.33333333333333337,1.0,1.0,0.20370370370370372,5,0.9113862284820031,0.22350974519660102,0.2064568216376207,76.0,310.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ldqr5jlk57a6nrha4u8w",G,32.8,10.0,IND,1210000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/16860,1656688.0
12,Cody Whitehair,G,OAK,2.0,60.0,36.0,64.0,8.0,,,,16.0,29.0,,,,,,4.0,1.0,3.0,,18,19.7,161.0,240.0,245.0,0.6666666666666667,0.19699999999999998,0.2535211267605634,0.20091150234741786,9,0.9003362284820031,0.22315163601287194,0.20620614520901037,75.0,309.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rp4zb2zxkhjosnuo6zer",G,32.7,9.0,LV,2500000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/19005,1860204.0
13,Jake Curhan,OT,CHI,2.0,,,,,,,,,17.0,,65.0,,,4.0,3.0,49.0,61.0,62.0,26,39.8,161.0,218.0,196.0,0.6666666666666667,0.39799999999999996,0.36619718309859156,0.19286004173187274,7,0.921091392801252,0.20938209089690954,0.19656746362783667,78.0,330.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfndhxwkreluq3z57nxl",RT,27.1,4.0,CHI,1055000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/72779,1057510.0
14,Chris Hubbard,OT,NYG,2.0,,,,,,,,72.0,65.0,,,55.0,63.0,,,,,2.0,32,36.4,161.0,205.0,200.0,0.6666666666666667,0.364,0.4507042253521127,0.1419660928534168,5,0.9244913928012518,0.1535612921427564,0.15749290449992948,76.0,295.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tsgs1iyyfjxlfsletyss",RT,33.8,12.0,NYG,1210000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/12939,1393661.0
15,Kayode Awosika,G,DET,2.0,,1.0,,53.0,,14.0,57.0,6.0,,,16.0,,,,,,,,13,12.8,161.0,257.0,273.0,0.6666666666666667,0.128,0.18309859154929578,0.11999874804381847,6,0.9281986697965571,0.1292813186966965,0.14049692308768758,75.0,315.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zerlb7u0vdx7zm0xbgjh",G,26.3,3.0,DET,705000.0,UFA,,705000.0
16,Jack Driscoll,OL,PHI,3.0,,,,,,,12.0,7.0,1.0,14.0,,2.0,,,1.0,,5.0,68.0,8,12.5,283.0,285.0,275.0,0.33333333333333337,0.125,0.11267605633802817,0.09094940010432968,8,0.7964776995305165,0.11418951234659774,0.12993265864261844,77.0,296.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/r1p5a2ocvqrraor7lk2b",G,27.9,5.0,PHI,1125000.0,UFA,,1125000.0
17,Aaron Stinnie,OL,NYG,2.0,,,,,,,,,,,,,,44.0,68.0,,56.0,25.0,12,17.2,161.0,266.0,256.0,0.6666666666666667,0.172,0.16901408450704225,0.08199353155972874,4,0.9244913928012518,0.08869042178022289,0.11208329524615603,75.0,312.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eqmyyng2jmnsttaozuno",G,31.1,7.0,NYG,1292500.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/25834,1182682.0
18,David Quessenberry,OT,MIN,2.0,,,9.0,,,,,25.0,,,,62.0,,,14.0,,,,6,9.8,161.0,296.0,283.0,0.6666666666666667,0.098,0.08450704225352113,0.07142639540949401,4,0.9205007824726134,0.0775951490422759,0.10431660432959312,77.0,310.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gjt9jdtuatvddzdeouwj",RT,34.5,8.0,MIN,1885000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/12458,2113295.0
19,Sam Mustipher,C,LAC,3.0,,,,56.0,,,,,,1.0,3.0,,,,,6.0,34.0,5.0,8,14.0,283.0,285.0,266.0,0.33333333333333337,0.14,0.11267605633802817,0.06971205007824727,6,0.9059789514866979,0.07694665528801838,0.10386265870161286,74.0,311.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ecy19sdqjyo8cdylzg0r",C,28.6,6.0,LAC,1125000.0,UFA,,1125000.0
20,Sam Mustipher,C,LAC,3.0,,,,56.0,,,,,,1.0,3.0,,,,,6.0,34.0,5.0,8,14.0,283.0,285.0,266.0,0.33333333333333337,0.14,0.11267605633802817,0.06971205007824727,6,0.9059789514866979,0.07694665528801838,0.10386265870161286,74.0,311.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ecy19sdqjyo8cdylzg0r",C,28.6,6.0,LAC,1125000.0,UFA,,1125000.0
21,Jake Hanson,OL,NYJ,2.0,,,,,,,20.0,62.0,21.0,,,,,,,,,,8,9.7,161.0,285.0,284.0,0.6666666666666667,0.09699999999999999,0.11267605633802817,0.05492824726134586,3,0.9085289514866979,0.06045844457841704,0.09232091120489193,76.0,297.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sxf7pg6khfwzwmjovuna",G,27.8,5.0,NYJ,1055000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/47806,1072354.0
22,Nick Gates,OL,PHI,3.0,,,,,,,12.0,2.0,,14.0,,,,,,,,68.0,10,8.3,283.0,274.0,289.0,0.33333333333333337,0.083,0.14084507042253522,0.044552634324465316,4,0.7964776995305165,0.055937076895846365,0.08915595382709246,77.0,307.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mm6y8qrgmgv0nu5jvxbo",C,29.2,7.0,PHI,1125000.0,UFA,,1125000.0
23,Nick Harris,C,CLE,4.0,,10.0,27.0,40.0,10.0,3.0,,,,,,,,,,,,,18,22.9,310.0,240.0,235.0,0.0,0.22899999999999998,0.2535211267605634,0.040210093896713615,5,0.9356132237871675,0.04297726119555208,0.08008408283688645,73.0,302.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fi6ivlcphteyqp30akm3",C,26.3,5.0,CLE,2395000.0,UFA,,2395000.0
24,Calvin Anderson,OT,PIT,3.0,,,,,,9.0,,1.0,,1.0,,,2.0,,,,,,2,1.9,283.0,310.0,318.0,0.33333333333333337,0.019,0.028169014084507043,0.03277423056859677,4,0.9165341158059467,0.0357588768420006,0.07503121378940042,77.0,300.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/duyjoa6gnovhov6rn0mu",LT,28.9,6.0,PIT,1125000.0,UFA,,1125000.0
25,Max Scharping,G,PIT,2.0,,,,,,,,,,,,,,,,,7.0,,3,0.8,161.0,304.0,328.0,0.6666666666666667,0.008,0.04225352112676056,0.015652373500260826,1,0.9165341158059467,0.017077786009631557,0.06195445020674209,78.0,325.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/w1vfrlw2zfh9m9wg2fqu",G,28.6,6.0,PIT,1125000.0,UFA,,1125000.0
26,Royce Newman,G,TB,2.0,,,,3.0,,,,,,,,,,,,,,,3,0.3,161.0,304.0,336.0,0.6666666666666667,0.003,0.04225352112676056,0.015569040166927492,1,0.9222247261345853,0.01688204591106942,0.061817432137748596,77.0,305.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vdaw8n7t5nxr4net9t5m",G,27.6,4.0,TB,994836.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/72526,1329055.0
27,Geron Christian,OT,CLE,2.0,,,,,,,,,,,,,,,,,,,0,0.0,161.0,333.0,343.0,0.6666666666666667,0.0,0.0,0.0,0,0.9356132237871675,0.0,0.05,77.0,315.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/darquy5teuxaglpisiw7",LT,28.5,7.0,CLE,1125000.0,UFA,,1125000.0
28,D.J. Humphries,OL,KC,2.0,,,,,,,,,,,,,,,,,,,46,20.0,161.0,173.0,243.0,0.6666666666666667,0.2,0.647887323943662,0.0,0,0.9128507824726134,0.0,0.05,77.0,307.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ehmg3ymvanqw99lm7c3v",LT,31.2,10.0,KC,2000000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/16748,1301831.0
29,Dan Feeney,C,MIN,2.0,,,,,,,,,,,,,,,,,,,0,0.0,161.0,333.0,343.0,0.6666666666666667,0.0,0.0,0.0,0,0.9205007824726134,0.0,0.05,76.0,310.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pwey0vlhbpz4fxq4r4ho",C,30.8,8.0,MIN,1800000.0,UFA,,1800000.0
30,David Andrews,C,NE,,65.0,68.0,52.0,9.0,,,,,,,,,,,,,,,48,77.9,,169.0,138.0,,0.779,0.676056338028169,,4,0.8818477308294209,,,75.0,300.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wgk8dyj0opob0dgutfz6",C,32.7,10.0,NE,6000000.0,UFA,,6000000.0
31,George Fant,OT,SEA,,13.0,,,,,,,,17.0,,,,,,,,,,15,13.8,,252.0,268.0,,0.138,0.2112676056338028,,2,0.915660172143975,,,77.0,322.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/p4gwfzzxibqi5uiiw5q7",RT,32.7,8.0,SEA,4550000.0,UFA,,4550000.0
32,Jackson Barton,OT,ARI,,,6.0,48.0,,,,,,,,,,,,,30.0,73.0,,39,57.3,,187.0,170.0,,0.573,0.5492957746478874,,4,0.9079862284820032,,,79.0,302.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bguilryx0xvj5w8o531k",LT,29.6,4.0,ARI,1125000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/29288,1153982.0
