NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM SNAP %,Rec,Catch %,TD
"Brandon Walton","OT","CAR","","","","","","","","","","","","","","","","","","","",0,0,0,,,
"Calvin Anderson","OT","PIT",3,"","","","","",9,"",1,"",1,"","",2,"","","","","",13,2,1.9,,,
"Chandler Brewer","OT","TEN","","","","","","","","","","","","","","","","","","","",0,0,0,,,
"Christian Darrisaw","OT","MIN",1,55,54,57,68,73,"",60,25,"","","","","","","","","","",392,56,92.7,,,
"Chuma Edoga","G","DAL",2,"","","","","","","","","","","","",62,60,23,53,30,"",228,45,48,,,
"Cam Fleming","OT","DEN","","","","","","","","","","","","","","","","","","","",0,0,0,,,
"Chris Glaser","OL","CHI",2,"","","","","","","","","","","","","","","",1,"","",1,0,0.5,,,
"Christian Haynes","G","SEA",2,1,15,"",36,18,8,15,11,"","","",60,"","",3,"","","",167,10,15.2,,,
"Cooper Hodges","OL","JAX","","","",1,"","","","",29,33,"","","","","","","","","",63,7,11.8,,,
"Cam Jurgens","C","PHI",1,76,"",72,50,"",62,66,61,79,54,71,73,56,58,80,74,65,"",997,66,92.3,,,
"Corey Levin","C","TEN",2,"","","","","","","","",34,"","","","","","",30,69,"",133,13,20.8,,,
"Cornelius Lucas","OT","WAS",2,45,50,30,37,34,29,54,46,"","","","",83,"","",10,49,"",467,33,40.2,,,
"Connor McGovern","G","BUF",1,62,41,56,43,61,69,55,69,66,74,73,"",43,60,70,59,60,"",961,60,88.3,,,
"Connor McGovern","C","NYJ","","","","","",24,70,70,73,79,53,"","","","","","","","",369,52,71.4,,,
"Chukwuma Okorafor","OT","NE","",12,"","","","","","","","","","","","","","","","","",12,12,1.1,,,
"Chris Paul","G","WAS",1,"","","","","","","","","","","","","","","","",1,"",1,0,0.1,,,
"Chris Reed","G","NO","","","","","","","","","","","","","","","","","","","",0,0,0,,,
"Colby Sorsdal","G","DET",2,"","","","","","","","","","","","","","","","","","",0,0,0,,,
"Calvin Throckmorton","G","DEN","","","","","","","",2,1,"","","","","","","","","","",3,1,0.7,,,
"Cody Whitehair","G","OAK",2,60,36,64,8,"","","",16,29,"","","","","",4,1,3,"",221,18,19.7,,,
"Connor Williams","C","SEA","",67,70,64,90,58,78,60,51,80,"","","","","","","","","",618,68,100,,,
"David Andrews","C","NE","",65,68,52,9,"","","","","","","","","","","","","","",194,48,77.9,,,
"Devin Cochran","OT","CIN",2,"","","","","","","","",1,"","","","","",69,22,60,"",152,16,23,,,
"Dion Dawkins","OT","BUF",1,62,41,56,51,61,66,55,69,66,74,70,"",43,60,70,59,58,"",961,60,88.3,,,
"David Edwards","G","BUF",1,62,45,64,51,61,69,55,69,66,73,71,"",43,60,69,57,62,"",977,61,89.8,,,
"Dan Feeney","C","MIN",2,"","","","","","","","","","","","","","","","","","",0,0,0,,,
"D.J. Humphries","OL","KC",2,"","","","","","","","","","","","","","","","","","",0,46,20,,,
"Dawand Jones","OT","CLE",3,74,61,52,59,62,"",27,69,77,"",30,"","","","","","","",511,51,73.2,,,
"Doug Kramer Jr.","C","CHI",2,"","","",2,9,5,"",16,"",41,1,1,1,4,4,"","","",84,5,7.4,,,
"Danny Pinter","C","IND",3,"","","","","","","","","","","","",62,"",76,"","","",138,9,12.7,,,
"Dominick Puni","G","SF",1,"","","","","","","","","","","","","","","","","","",0,63,99.9,,,
"David Quessenberry","OT","MIN",2,"","",9,"","","","",25,"","","",62,"","",14,"","","",110,6,9.8,,,
"Dakoda Shepley","OT","DAL","","","","","","","","","","","","","","","",9,"",3,"",12,4,6.2,,,
"Dalton Tucker","G","IND",1,"","","","",25,70,62,64,54,64,70,55,"","","","","","",464,33,42.7,,,
"Ethan Driskell","OT","KC",3,"","","","","","","","","","","","","","","","","","",0,2,0.3,,,
"Ed Ingram","G","MIN",2,55,54,63,68,73,"",60,50,73,84,"","","","","","","","",580,36,51.9,,,
"Elijah Klein","G","TB",2,"","","","","","","","","","","","","","",3,"",6,"",9,0,0.8,,,
"Erik McCoy","OL","NO",2,66,53,3,"","","","","","","",41,"","",68,55,7,"","",293,41,59.8,,,
"Evan Neal","OT","NYG",1,"","","","","","","",1,1,75,"",59,63,78,68,59,56,"",460,51,40.9,,,
"Elijah Wilkinson","G","ATL",2,"","","","","","","","","","",1,"","","","","","","",1,0,0.1,,,
"Frank Crum","OT","DEN",2,"","","","",6,"",2,1,"","","","","","","","","","",9,1,0.8,,,
"Geron Christian","OT","CLE",2,"","","","","","","","","","","","","","","","","","",0,0,0,,,
"George Fant","OT","SEA","",13,"","","","","","","",17,"","","","","","","","","",30,15,13.8,,,
"Hunter Nourzad","C","KC",2,"","","","","","","","","","","","","","","","","","",0,1,2.7,,,
"Isaiah Prince","OT","TEN","","","","","","","","","","","",29,"","","","","","","",29,29,49.2,,,
"Jackson Barton","OT","ARI","","",6,48,"","","","","","","","","","","","",30,73,"",157,39,57.3,,,
"Jackson Carman","OT","MIA",3,"","","","","","","","","","","","","","",68,"","","",68,8,12.9,,,
"Javion Cohen","G","CLE","","","","","","","","","","","","","","","","","","","",0,0,0,,,
"James Daniels","G","PIT",3,68,66,68,6,"","","","","","","","","","","","","","",208,52,76.5,,,
"Justin Dedich","OL","LAR",2,"","",2,"","","",55,72,77,"","","","","","","","","",206,15,20.4,,,
"Jaelyn Duncan","OT","TEN",2,"",1,19,"","","",4,"","","","","","","","","",15,"",39,7,7.6,,,
"Javon Foster","OT","JAX",2,"","","","","","","","","","","","","","","","","","",0,0,0,,,
"Jovaughn Gwyn","OL","ATL","","","","","","","","","","","","","","","","","","","",0,0,0,,,
"Jake Hanson","OL","NYJ",2,"","","","","","",20,62,21,"","","","","","","","","",103,8,9.7,,,
"James Hudson III","OT","CLE",3,76,72,15,59,"","","","","","","","","","","","","","",222,55,81,,,
"Jamarco Jones","OL","DET","","","","","","","","","","",1,"","",3,"","","","","",4,2,3,,,
"Josh Jones","OL","BAL",2,"","","","",9,"","","",6,"","","",2,"",11,2,16,"",46,2,4.1,,,
"Jamarco Jones","OL","DET","","","","","","","","","","",1,"","",3,"","","","","",4,2,3,,,
"Jarrett Kingston","G","CAR",2,"","","","","","","",1,"","","","","","","","","","",1,0,0.1,,,
"Jaxson Kirkland","G","CIN","","","","","",3,"","","","","","","","","","","","","",3,1,1,,,
"Jordan Mailata","OT","PHI",1,76,"",72,57,"",49,"","","","",71,73,56,58,80,74,65,"",731,66,90.8,,,
"Jordan McFadden","OL","LAC","","","","",1,"","","","","","","","","","","","","","",1,1,0.1,,,
"Jordan Meredith","G","OAK",1,"","","","","",43,79,58,61,"",65,70,68,67,63,"","","",574,41,51.1,,,
"Joshua Miles","OT","NYG","","","","","","","","","","","","","","","","","","","",0,0,0,,,
"Jacob Monk","C","GB",2,"","","","","","","","","","","","","","","","","","",0,0,0,,,
"Jaylon Moore","OT","SF",1,2,"",2,"","",1,9,"","","",12,49,48,61,54,33,"","",271,18,28.9,,,
"Jordan Morgan","OT","GB",2,28,20,"","","",38,13,22,65,"","","","","","","","","",186,31,30.9,,,
"Jon Runyan","G","NYG",1,71,56,72,69,72,79,58,72,65,75,"",59,63,34,"","","","",845,65,95.1,,,
"John Michael Schmitz Jr.","C","NYG",1,71,56,72,69,72,79,58,72,65,75,"",59,63,49,68,59,"","",987,65,87.7,,,
"Justin Skule","OT","TB",2,"",48,57,77,53,"",1,"","",44,"",65,"","",3,"",13,"",361,21,31.6,,,
"Jalen Sundell","C","SEA",2,"","","","","","","","",1,"",1,4,3,"",48,"","","",57,4,5.2,,,
"Jawaan Taylor","OT","KC",1,54,65,74,62,84,"",70,72,85,68,55,74,71,69,75,54,62,"",1094,68,95.3,,,
"Jonah Williams","OT","ARI",2,22,"","","","","","","","","","",58,82,71,70,40,"","",343,57,83.3,,,
"Jedrick Wills Jr.","OT","CLE",1,"","",40,"",62,57,84,"",2,"","","","","","","","","",245,49,29.1,,,
"Kiran Amegadjie","OT","CHI",3,"","","","",4,5,"",45,"","","","","",4,67,"","","",125,20,11,,,
"Kayode Awosika","G","DET",2,"",1,"",53,"",14,57,6,"","",16,"","","","","","","",147,13,12.8,,,
"Kevin Dotson","OL","LAR",1,78,52,58,61,78,"",55,72,77,70,52,64,56,77,65,52,57,"",1024,64,93.9,,,
"Kyle Hergel","G","NO","","","","","","","",45,"","","","","","","","","","","",45,5,8.4,,,
"Kyle Hinton","OL","ATL",2,3,"","","","","",38,22,"",1,13,"","","","",5,"","",82,4,7.2,,,
"Kendall Lamm","OT","MIA",1,"",30,41,"","","","","","",51,68,68,54,72,"",67,60,"",511,34,47.8,,,
"Kingsley Suamataia","OT","KC",2,"","","","","","","","","","","","","","","","","","",0,13,17,,,
"Kadeem Telfort","OT","GB",2,"","","","","","",1,"","","","",5,"",8,"",9,"","",23,1,2.1,,,
"Logan Bruss","G","TEN","","","",56,61,78,"","","","","","","","","","","","","",195,17,27.4,,,
"Lester Cotton","G","NE",2,"",36,"","","","","","","",24,"","","","",3,5,11,"",79,5,7.6,,,
"Lloyd Cushenberry III","C","TEN","",64,66,54,65,"",58,73,76,43,"","","","","","","","","",499,62,93.6,,,
"Landon Dickerson","G","PHI",1,76,"",72,57,"",62,54,58,79,54,63,71,56,58,31,74,60,"",925,62,86.1,,,
"Luke Fortner","C","JAX",2,"","","","","","",2,"",1,"",9,"","","","","",1,"",13,0,1.3,,,
"Lane Johnson","OT","PHI",1,76,"",18,"","",62,54,55,79,54,71,71,56,58,79,74,59,"",866,62,81,,,
"Lucas Patrick","OL","NO",1,36,59,56,74,44,"","",73,43,"","","","",68,55,55,"","",563,51,58.5,,,
"Leroy Watson IV","OT","TEN","","","","","","",58,"",47,52,33,"","","","","","","","",190,47,32.6,,,
"Malaesala Aumavae-Laulu","G","BAL","","","","","","","","","","","","","","","","","","","",0,0,0,,,
"Mekhi Becton","OT","PHI",1,76,"",14,57,"",62,15,"",79,68,71,71,56,58,79,74,52,"",832,60,78,,,
"McClendon Curtis","G","SEA","","","","","","","","","","","","","","","","","","","",0,0,0,,,
"Michael Jordan","G","NE","",65,68,31,"",60,58,60,67,69,64,73,69,1,"","","","","",685,57,80.4,,,
"Michael Jurgens","G","MIN",2,"","","","","","","","","","","","","","","","","","",0,0,0,,,
"Matt Lee","C","CIN",2,"","","","","","",3,1,6,1,"","",3,"",5,4,4,"",27,1,2.4,,,
"Morgan Moses","OL","NYJ",2,51,57,60,"","",63,57,62,58,58,51,"",17,33,58,69,28,"",722,51,67.7,,,
"Michael Niese","C","DET",2,"",1,"","","",11,"",6,"","",16,1,"","","","","","",35,2,3.1,,,
"Max Scharping","G","PIT",2,"","","","","","","","","","","","","","","","",7,"",7,3,0.8,,,
"Matt Waletzko","OT","DAL",2,"","","","","","","","","",1,"","",2,"",9,"","","",12,1,1,,,
"Nick Broeker","G","HOU",2,"","","","","","","","","","","","","","","","",6,"",6,0,0.5,,,
"Nate Davis","G","CHI","",18,70,1,49,4,"","","","","","","","","","","","","",142,28,23.1,,,
"Nick Harris","C","CLE",4,"",10,27,40,10,3,"","","","","","","","","","","","",90,18,22.9,,,
"Nicholas Petit-Frere","OT","TEN",1,64,66,37,65,"","",69,"","","",30,67,55,64,70,34,"","",621,41,56.8,,,
"Nick Saldiveri","OL","NO",1,"",6,1,"",38,70,25,"",36,53,60,"",55,"","","","","",344,31,43.9,,,
"Nick Zakelj","G","SF",2,"","","","","","","","","","","","","","","","","","",0,9,15,,,
"Olu Fashanu","OL","NYJ",1,"","",14,74,72,"","",1,37,33,51,"",68,68,58,57,"","",533,35,56.8,,,
"O'Cyrus Torrence","G","BUF",1,62,41,61,59,61,69,55,76,66,73,73,"",58,60,70,59,70,"",1013,59,93.1,,,
"Paris Johnson Jr.","OT","ARI",1,61,60,59,59,58,58,57,66,58,52,"",58,82,71,66,"","","",865,61,90.9,,,
"Ryan Bates","C","CHI","",38,"","","","","","","","",60,7,"","","","","","","",105,35,23.3,,,
"Richard Gouraige","OT","BUF","","","","","","","","","","","",3,"","","","","","","",3,3,4.1,,,
"Robert Hainsey","C","TB",2,"","",1,"","",77,"","","","","",2,1,"",3,"",11,"",95,5,8.3,,,
"Rob Havenstein","OL","LAR",1,"",52,58,61,78,"",55,72,58,"","","",56,77,65,52,"","",684,62,62.8,,,
"Ryan Hayes","OT","MIA","","","","","","","","","","","","","","","","","","","",0,0,0,,,
"Robert Hunt","G","CAR",1,59,48,74,70,60,66,43,61,53,60,"",62,70,71,55,68,47,"",967,60,93.5,,,
"Ryan McCollum","C","PIT",2,"","","",1,"",19,68,66,"","","","","","","","","","",154,9,13.6,,,
"Ryan Neuzil","OL","ATL",2,"","",42,56,87,70,61,62,57,78,59,"","","","",5,"","",577,33,50.5,,,
"Royce Newman","G","TB",2,"","","",3,"","","","","","","","","","","","","","",3,3,0.3,,,
"Rashawn Slater","OT","LAC",1,57,69,30,"","",72,66,66,57,59,67,69,46,60,52,65,69,"",904,60,84.7,,,
"Spencer Brown","OT","BUF",1,62,45,64,59,61,66,55,76,66,66,"","",58,60,65,59,70,"",932,62,85.7,,,
"Spencer Burford","G","SF","",16,"","",1,"",14,"","","","","","","",51,"",31,"","",113,7,11.3,,,
"Stone Forsythe","OT","SEA","",54,70,64,90,58,78,"","","","","","","","","","","","",414,46,62.9,,,
"Sebastian Gutierrez","OT","SF","","","","","","","","","","","","","","",3,"","","","",3,3,1.8,,,
"Shaq Mason","G","HOU",1,79,62,67,75,68,63,64,71,79,68,64,56,63,"",50,4,"","",933,62,84.3,,,
"Storm Norton","OL","ATL",2,"","",46,56,"","",7,"","","",13,"","","","",5,"","",127,7,11.1,,,
"Sidy Sow","G","NE",1,"","","",64,"",8,41,1,4,6,7,20,3,"",1,"","","",155,12,14.2,,,
"T.J. Bass","G","DAL",2,1,8,"",3,53,69,"","","",6,17,66,"",36,56,"","","",315,21,26.9,,,
"Tyler Biadasz","C","WAS",1,59,72,59,72,67,59,54,74,62,59,66,70,83,"","",68,22,"",946,63,81.3,,,
"Tanor Bortolini","G","IND",2,"","","",66,70,23,1,"","",64,70,55,"","","",2,"","",351,29,32.3,,,
"Trent Brown","OT","CIN","",51,64,24,"","","","","","","","","","","","","","","",139,46,78.5,,,
"Troy Fautanu","OT","PIT",2,"",55,"","","","","","","","","","","","","","","","",55,55,41,,,
"Travis Glover","OT","GB",2,"","","","","","","","","","","",4,"","","",9,"","",13,1,1.2,,,
"Trey Hill","C","CIN","","","","","","","","","","","","","","","","","","","",0,0,0,,,
"Teven Jenkins","G","CHI",1,56,70,90,11,38,63,"",46,74,19,"",76,67,49,64,15,"","",738,52,65,,,
"Thayer Munford Jr.","OT","OAK",2,60,63,2,"","","",3,17,41,"",1,"",6,4,"",1,3,"",201,14,17.9,,,
"Tyron Smith","OL","NYJ",1,51,57,73,74,72,63,57,62,58,25,"","","","","","","","",592,59,87.6,,,
"Trent Williams","OT","SF",1,70,70,69,63,64,64,54,68,"",64,63,"","","","","","","",649,64,69.1,,,
"Will Fries","OL","IND","",45,56,56,66,45,"","","","","","","","","","","","","",268,53,91.5,,,
"Will Hernandez","G","ARI",2,61,60,59,59,41,"","","","","","","","","","","","","",280,56,92.4,,,
"Walker Little","OT","JAX",1,"",1,24,"",4,3,56,57,54,44,48,"",70,59,83,5,"","",508,33,49.2,,,
"Wanya Morris","OT","KC",2,"","","","","","","","","","","","","","","","","","",0,43,63.9,,,
"Walter Rouse","OT","MIN",3,"","","","","","","","","","","","","","","","","","",0,0,0,,,
"Wes Schweitzer","OL","NYJ",3,"","","","","","","","","","","","","",1,"","","","",1,0,0.3,,,
"Xavier Newman-Johnson","OL","NYJ",2,"","","","","","",11,"","","","","","","","","","","",11,1,1.3,,,
"Yosh Nijman","OT","CAR",2,"","","","",31,66,43,"","","","","","","","","",47,"",187,11,18.1,,,
"Zack Martin","G","DAL",1,62,62,80,53,72,51,"",62,77,54,66,"","","","","","","",639,63,76.3,,,
"Zach Thomas","OT","HOU",3,"","",23,1,3,55,1,1,"","",2,"","","",5,4,6,"",101,7,9.6,,,
"Zak Zinter","G","CLE",2,2,14,34,59,62,54,5,"","","",3,"","","","","","","",233,13,19.7,,,
