NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Avg,TM SNAP %,DEPTH_ranking,Avg_ranking,TM SNAP %_ranking,depth_score,TM_SNAP,avg_norm,rating,games,max_team_rating,team_relative_rating,final_rating,height,weight,headshot_url
Kolton Miller,OT,OAK,1.0,60.0,63.0,64.0,59.0,70.0,63.0,79.0,58.0,13.0,,65.0,77.0,68.0,67.0,67.0,74.0,77.0,51.0,63,95.7,1.0,61.0,57.0,1.0,0.9570000000000001,0.8873239436619719,0.9003362284820031,17,0.9003362284820031,1.0,0.75,80.0,325.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zrblk9w9vksroddtgpiq"
Kevin Dotson,OL,LAR,1.0,78.0,52.0,58.0,61.0,78.0,,55.0,72.0,77.0,70.0,52.0,64.0,56.0,77.0,65.0,52.0,57.0,,64,93.9,1.0,49.0,65.0,1.0,0.9390000000000001,0.9014084507042254,0.8463311424100155,16,0.8463311424100155,1.0,0.75,76.0,321.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lh2fbjpgy0ywkrjij8wr"
Terence Steele,OT,DAL,1.0,63.0,70.0,80.0,56.0,76.0,69.0,,62.0,77.0,60.0,83.0,66.0,76.0,60.0,73.0,60.0,62.0,78.0,68,100.0,1.0,5.0,1.0,1.0,1.0,0.9577464788732394,0.9324726134585288,17,0.9324726134585288,1.0,0.75,78.0,310.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bkpod6ztrwcvjzq1wx7w"
Jake Matthews,OT,ATL,1.0,56.0,,61.0,56.0,87.0,70.0,66.0,62.0,57.0,78.0,46.0,,81.0,74.0,58.0,62.0,64.0,79.0,65,97.8,1.0,33.0,47.0,1.0,0.978,0.9154929577464789,0.8604870109546165,16,0.8604870109546165,1.0,0.75,77.0,309.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zybsfumyollv8qplcmab"
Mitch Morse,C,JAX,1.0,53.0,60.0,71.0,58.0,58.0,62.0,59.0,57.0,53.0,44.0,39.0,,70.0,59.0,84.0,67.0,58.0,69.0,60,98.8,1.0,105.0,30.0,1.0,0.988,0.8450704225352113,0.897147730829421,17,0.897147730829421,1.0,0.75,78.0,305.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rlmszp2z31nrt5zoew30"
Trey Smith,G,KC,1.0,54.0,65.0,74.0,62.0,84.0,,70.0,72.0,85.0,68.0,55.0,74.0,71.0,69.0,75.0,74.0,62.0,3.0,65,97.3,1.0,33.0,49.0,1.0,0.973,0.9154929577464789,0.9128507824726134,17,0.9128507824726134,1.0,0.75,78.0,325.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gkonw504ovpjytykv80c"
Quinn Meinerz,OL,DEN,1.0,69.0,61.0,68.0,61.0,63.0,55.0,65.0,72.0,72.0,58.0,62.0,68.0,66.0,,59.0,64.0,60.0,65.0,64,98.7,1.0,49.0,34.0,1.0,0.987,0.9014084507042254,0.9128268388106415,17,0.9128268388106415,1.0,0.75,75.0,320.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mq5miqpgdc7i5gwvdkzb"
Creed Humphrey,C,KC,1.0,54.0,65.0,74.0,62.0,84.0,,70.0,72.0,85.0,68.0,55.0,74.0,71.0,69.0,75.0,74.0,62.0,3.0,65,97.3,1.0,33.0,49.0,1.0,0.973,0.9154929577464789,0.9128507824726134,17,0.9128507824726134,1.0,0.75,76.0,316.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ewfq7platfniohj5wycu"
Coleman Shelton,C,CHI,1.0,56.0,70.0,90.0,60.0,72.0,63.0,,63.0,74.0,60.0,72.0,76.0,66.0,49.0,64.0,64.0,61.0,62.0,66,98.8,1.0,18.0,30.0,1.0,0.988,0.9295774647887324,0.921091392801252,17,0.921091392801252,1.0,0.75,77.0,285.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/abdpsw1gfijjrazfndrk"
Penei Sewell,OT,DET,1.0,61.0,85.0,68.0,53.0,,68.0,57.0,48.0,57.0,65.0,79.0,72.0,70.0,80.0,79.0,65.0,70.0,68.0,67,99.9,1.0,11.0,13.0,1.0,0.9990000000000001,0.9436619718309859,0.9281986697965571,17,0.9281986697965571,1.0,0.75,77.0,325.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nrhm0ayuzp9wkzfvy9nm"
Nick Allegretti,G,WAS,1.0,59.0,72.0,59.0,69.0,58.0,59.0,69.0,74.0,62.0,64.0,66.0,70.0,83.0,,78.0,68.0,83.0,58.0,67,99.0,1.0,11.0,29.0,1.0,0.99,0.9436619718309859,0.9256486697965571,17,0.9256486697965571,1.0,0.75,76.0,320.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vblrphfqfohxa2hycuue"
Ted Karras,C,CIN,1.0,51.0,64.0,62.0,67.0,67.0,53.0,55.0,58.0,74.0,82.0,82.0,,62.0,71.0,69.0,56.0,90.0,74.0,66,100.0,1.0,18.0,1.0,1.0,1.0,0.9295774647887324,0.9244913928012518,17,0.9244913928012518,1.0,0.75,76.0,305.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fskmnrbqlkdryfif0zlk"
